Model unknown

  Variables:
    x : Size=1204, Index=x_index
        Key                     : Lower : Value                   : Upper : Fixed : Stale : Domain
                       (3.2, 1) :  None :     0.08328811276369778 :  None : False : False :  Reals
                       (3.2, 2) :  None :     0.06306394944847772 :  None : False : False :  Reals
                       (3.2, 3) :  None :     0.14429594385668493 :  None : False : False :  Reals
                   (3.26202, 0) :  None :    0.049312112026043464 :  None : False : False :  Reals
                   (3.26202, 1) :  None :     0.09035302325874592 :  None : False : False :  Reals
                   (3.26202, 2) :  None :     0.07250988216241747 :  None : False : False :  Reals
                   (3.26202, 3) :  None :     0.16030559750884005 :  None : False : False :  Reals
                   (3.45798, 0) :  None :     0.06810678919111264 :  None : False : False :  Reals
                   (3.45798, 1) :  None :     0.09826459437848528 :  None : False : False :  Reals
                   (3.45798, 2) :  None :     0.10736272354469283 :  None : False : False :  Reals
                   (3.45798, 3) :  None :      0.1895373718750679 :  None : False : False :  Reals
                       (3.6, 0) :  None :     0.08173567481403363 :  None : False : False :  Reals
                       (3.6, 1) :  None :     0.09198064150618453 :  None : False : False :  Reals
                       (3.6, 2) :  None :      0.1344405821378492 :  None : False : False :  Reals
                       (3.6, 3) :  None :     0.18870162510687358 :  None : False : False :  Reals
                   (3.66202, 0) :  None :     0.08730034162900169 :  None : False : False :  Reals
                   (3.66202, 1) :  None :      0.0865377921826944 :  None : False : False :  Reals
                   (3.66202, 2) :  None :     0.14601205921761026 :  None : False : False :  Reals
                   (3.66202, 3) :  None :      0.1822962691923633 :  None : False : False :  Reals
                   (3.85798, 0) :  None :     0.10194400209146517 :  None : False : False :  Reals
                   (3.85798, 1) :  None :     0.06159277714121312 :  None : False : False :  Reals
                   (3.85798, 2) :  None :     0.17791927154091264 :  None : False : False :  Reals
                   (3.85798, 3) :  None :     0.13883544303553144 :  None : False : False :  Reals
                       (4.0, 0) :  None :     0.10910409265881843 :  None : False : False :  Reals
                       (4.0, 1) :  None :     0.03854276383145334 :  None : False : False :  Reals
                       (4.0, 2) :  None :     0.19436504467337667 :  None : False : False :  Reals
                       (4.0, 3) :  None :     0.09038777010880619 :  None : False : False :  Reals
                   (4.06202, 0) :  None :     0.11117962759102128 :  None : False : False :  Reals
                   (4.06202, 1) :  None :    0.027784629955011495 :  None : False : False :  Reals
                   (4.06202, 2) :  None :      0.1992893834703087 :  None : False : False :  Reals
                   (4.06202, 3) :  None :     0.06613568800074514 :  None : False : False :  Reals
                   (4.25798, 0) :  None :     0.11319130380095314 :  None : False : False :  Reals
                   (4.25798, 1) :  None :   -0.006926475394269868 :  None : False : False :  Reals
                   (4.25798, 2) :  None :     0.20427287044713446 :  None : False : False :  Reals
                   (4.25798, 3) :  None :   -0.014360759591972833 :  None : False : False :  Reals
                       (4.4, 0) :  None :     0.11049600205700098 :  None : False : False :  Reals
                       (4.4, 1) :  None :   -0.030858532655420736 :  None : False : False :  Reals
                       (4.4, 2) :  None :     0.19829959417113915 :  None : False : False :  Reals
                       (4.4, 3) :  None :    -0.06927854425821214 :  None : False : False :  Reals
                   (4.46202, 0) :  None :     0.10829516205525995 :  None : False : False :  Reals
                   (4.46202, 1) :  None :    -0.04051169068653852 :  None : False : False :  Reals
                   (4.46202, 2) :  None :     0.19334718489094616 :  None : False : False :  Reals
                   (4.46202, 3) :  None :    -0.09067046940409806 :  None : False : False :  Reals
                   (4.65798, 0) :  None :     0.09772672268681466 :  None : False : False :  Reals
